DDR1
RFC2
HSPA6
PAX8
GUCA1A
UBA7
THRA
PTPN21
CCL5
CYP2E1
EPHB3
ESRRA
CYP2A6
SCARB1
TTLL12
LINC00152
WFDC2
MAPK1
ADAM32
SPATA17
PRR22
PXK
VPS18
MSANTD3
SLC46A1
TIMD4
SLC39A5
ZDHHC11
ATP6V1E2
AFG3L1P
CILP2
PIGX
TMEM196
SLC39A13
BEST4
AK9
CORO6
TMEM106A
ALG10
TTC39C
NEXN
C15orf40
RAX2
MFAP3
EYA3
GIMAP1
KLK8
CCDC65
FAM122C
CFAP53
ARMCX4
RBBP6
CENPBD1
TRIOBP
CATSPER1
HOXD4
GSC
SP7
PDE7A
CNOT7
CRYZL1
PRSS33
C19orf26
MCMDC2
TIRAP
LEAP2
MSI2
SCIN
CTCFL
C4orf33
ZNF333
TVP23C
RDH10
SRSF12
FAM71A
GAPT
FLJ30901
ERICH5
CCDC185
ENTHD1
TSSK3
WFDC6
CLEC12A
BRF1
C15orf27
GRIK1-AS2
CALML6
NLRP5
ODF4
CLEC4F
DEFB106B///DEFB106A
WFDC9
NEDD1
TTLL10
CALR3
C10orf25
ETV3
KLHL10
TM2D3
ZNF485
WDR17
MFSD6L
CDH23
ANKAR
MEGF11
GPR182
ESX1
C8orf12
SCGB1C1
DNAJC5G
WDR88
PRUNE2
MBD3L2
ADAMTSL1
MBD3L1
FAM46D
SERPINB11
LINC00161
DSCR10
ABHD11
ACAP2
GAMT
PLCD3
IRF6
PTPRC
MAN1A2
RAPH1
SMCR8
LACTB
BNC1
MPP4
LACE1
IDI2
CYP11B1
TAF8
COBL
SLAMF6
ZSCAN20
GPBAR1
RHBDL2
FRAS1
BRSK1
CRB2
KCNE4
CD300LG
SLC34A3
CPA6///CPB1
WBP2NL
HIPK1
MTBP
ACVR1C
TMEM74
TIGD4
ART5
FAM71C
C21orf67
NLRP11
ATP6V1C2
CLDN19
VTI1A
KIF6
IQCD
TAGAP
STON2
SERPINA12
LETM2
BSND
CLEC4C
NLRC4
PRSS36
ZDHHC15
RAI1
CDK15
ZNF570

NUDT9P1
BTBD16
RTP3
TSPEAR
MIPOL1
C6orf141
ALMS1P
MYO3B
ADAM21
TRIML2
ABCC13
IL12RB1
GTF2A1L
TRPV3
CNBD1
ABCC12
MMP21
TMEM190
GAS2L2
KCNG4
PXT1
CACNG5
LINC00308
FAM223A
WFDC11
IFNL3///IFNL2
JAK1
CDC42SE2
ACACB
RFWD2
STX6
ANLN
SPRR4
POLR2J2
LOC441259///POLR2J2
HSH2D
TRNT1
TMEM163
ARHGAP5
HERPUD2
JMJD6
SRCAP
MAP3K6
ARSG
ZNF101
PTPN11
KLHDC7B
ATAD3B///ATAD3A
ZNF626
PHC3
IL11RA
TNFRSF10A
RFFL
HPS4
UHMK1
TXNDC2
NAV3
C5orf22
PCDHGB7
ERC1
FLCN
JMJD1C-AS1
LRRC7
SH2D3C
PPP1R3B
SLC9A7
IGSF3
RFX6
DIRC1
DNAJB7
UCN3
DIP2A
USP28
CASC5
SENP8
GRHL1
CNBD2
CASKIN1
CACNA2D4
ARL11
SLC2A13
NIPA1
TUBA3FP
CARD16
CARD16///CASP1
DUSP19
CYB5D1
NMNAT2
SLC4A1
CREG2
RXFP1
SPEF2
CEP170P1///CEP170
DTD1
CASC4
FGF1
ARPP21
RHOXF1
ADAMTS17
SNHG7
DHH
ABRA
KLHDC1
RICTOR
PCDHGA4
NETO1
WWP2
ST7L
C2orf15
KCNH8
MCF2L
SLCO6A1
PP2D1
KLC3
CIB3
CADM2
C9orf66
HDAC9
SLC16A11
TMEM67
HS6ST2
CAMKK1
ZNF625
ZNF563
LIN9
CLEC4D
SLC25A27
GPRC6A
RAET1E
SLC44A5
ZNF417
ZNF781
HELB
SEC62
TRDN
SOCS4
C8orf31
ZNF547
SIM1
PROM2
TLR4
TSNARE1
CAPN13
STMN1
SIGLEC12///SIGLEC10
SIGLEC10
RFX4
WFIKKN1
SENP1
KLF14
NXNL2
BRS3
LINC00205
TMX3
ZNF396
SLC26A7
SNX18
FBXO39
B3GNT6
DENND1B
ZNF619
ICK
FAM71D
BCL2L14
HS6ST3
SLC26A1
CLDN15
RAB42
PTCHD1
M1AP
ZSCAN4
VWA5B1
LINC00311
HTR6
MAGEB6
TCEB3C
RUSC1-AS1
CACNG6
LMNTD1
CIRBP-AS1
AXDND1
ASMTL-AS1
CD200R1
LINC00334
ATOH7
SEC16B
AMER1
NKX6-3
TBATA
EXOC3L2
CABP4
TNFRSF13C
CAMK2N2
ANKRD30BP2
KCNG3
LINC01312
FOXP2
B4GALNT2
FMR1NB
GCSAML
SIGLEC11
IL23R
MAGEB18
CD276
IFNL2
IFNL1
C4orf36
FIGNL1
RIMS1
PITPNM2
PCDH10
TAB3
GRK7
MMEL1
PDE8A
NLRP6
AKNAD1
ZCCHC5
ATRIP
ZIC5
ANGPT1
TEDDM1
LOC149373
GABRG1
PANX2
ZNF114
CCDC27
C15orf26
RBMY2FP
NEUROD2
C5orf17
LINC00208
DNAH6
LRRC15
B3GNT7
ZNF645
ZMYM6
SGCZ
WNT9B
DNAJB13
CNPY3
SCAMP1
LINC00471
HAS3
FGF4
SLC30A8
LOC142937
LOC439933
C11orf65
FAM71E2
OR5P2
DYDC1
IL27
IQCF1
DEFB125
WFDC10B
DEFB105B///DEFB105A
PKHD1
PKD1L1
GPR112
TENM1
REXO1L1P
TAF1L
CNTNAP5
RECQL4
GPR113
TMC2
SMCR5
BICD2
ZIM3
NOX5
DAOA-AS1
GPR126
KLHL4
GPR156
SUOX
GPR115
IL31RA
SYTL5
SDCCAG8
GPR111
SYN2
ASB10
HTR3C
NFKBID
CD300LF
GJA10
WNT9A
GAL3ST2
PIP4K2B
ODF3
WFDC13
LINC00521
SLFN5
SERPINB12
GIPC3
PGLYRP3
PSKH2
OR6W1P
MOGAT1
GPR78
H1FOO
TAAR9
GNRHR2
BRWD1-IT2
MYOZ3
BNIPL
ASB11
OFCC1
SDR9C7
OR5P3
TRIM40
CSN1S2AP
WFDC12
CRYGN
STARD6
C11orf40
C18orf12
BCL2L11
DEFB119
TAC4
TIGD1
ALKBH5
CCDC69
NFX1
DSG2
C5orf24
KBTBD6
CDK8
PTK6
NKD1
STK38
THEM4
CLSPN
RBAK
WDR62
SLC39A12
RNF168
SVEP1
LOC652276
GATA4
TC2N
C9orf72
KCTD18
KLF11
ANKLE1
PLXNA3
PELO
LACC1
TAPT1-AS1
C3orf30
RANBP3L
SNX13
KDM1B
ATP6V0D2
LHX4
CEP19
DNAH11
PROSER3
ADPRHL1
SYNRG
CDH24
SEPSECS
GRIK5
LRRN4
ZNF777
JPH2
PDE5A
SH2D1B
SSTR3
ADAMTS19
DDX31
UMODL1
RASEF
PARD3B
DST
ZNF441
NEGR1
FCRL3
DCAF4L2
STOX1
C20orf166-AS1
ARL10
RNFT2
ANKFN1
KRT78
ZNF41
ZNF512
AMMECR1
FAM117B
ZNF583
OXER1
LUZP1
ZNF75D
LINC00052
BRWD1
CCDC89
ZNF572
RMDN2
ADAMTS18
PCDHAC1
HIPK4
FAM124A
NKAIN3
ITIH5
FANCB
POMK
ZNF709
CCDC57
SMC1B
BRWD3
ASB16
MAGEE2
ERVV-1
GAL3ST3
FLJ30679
ALS2CR11
UTS2R
USH1G
SYN1
SLC23A3
CNOT6L
RHBDL3
ZNF718
DIP2B
SLC36A1
SNRNP48
ZNF560
RTTN
BTNL9
PUS10
PLCXD2
C21orf128
LMLN
RAD9B
ZNF555
NYAP1
SGK494
MRGPRX3
ABCA13
GPR128
CSF3R
C17orf77
DUSP5P1
DGKH
TMEM182
C16orf46
LSM14B
CASP8
PLB1
C20orf197
SLC5A3
KIF19
SLFNL1
GPR82
RIBC1
OXGR1
CDC14C
SULT1C4
TEAD1
CATSPER2
POU5F2
RXFP2
BEND7
SLC18A2
SSMEM1
MAB21L3
LOC285696
MIER3
SDE2
SLC35G4P///SLC35G3///SLC35G5
UROC1
PCDH15
TNRC6A
KCNA6
ARID2
AMER3
OTUD7A
ERVW-1
FLJ31958
LINC00889
FBXL18
C6orf195
PNPLA1
DEPDC4
ANKRD23///ANKRD39
COX6B2
FAM129C
EPHA10
FLJ23865
WDR64
PRO2949
BTBD9
HEATR9
PARP15
ARHGAP42
LINC01101
MFSD2A
ATM
FAM26D
NPHP3
ATG9B
CXorf58
EFCAB3
TFAP2B
CCDC13
CRHR1-IT1
MRGPRX1
HFE
RLN3
CSMD1
MACF1
ADAMTS20
SALL3
AGBL4
FLJ13744
SLC17A8
C11orf44
SATB2-AS1
RBFOX1
SLFN13
C12orf40
CFAP57
C5orf64
ADAMTS15
LY86-AS1
FLJ31713
EDARADD
LOC653786///OTOA
CCDC171
CYP4Z2P
C18orf15
MUC19
KLHDC7A
AQP4-AS1
CNTNAP4
FER1L6-AS1
C1orf127
AGBL1
FLJ34503
LINC00304
CCDC79
MYO1H
ASB14
RPTN
VSTM4
CCDC150
C2orf61
FAM9B
FLJ40288
CES5A
CHDC2
FLJ32742
HYDIN2
DNAH17
SLC35G3
FLJ32955
POTED
PRO1483
KIRREL3-AS3
TMEM145
C15orf32
TSGA10IP
LINC00477
CCDC140
C17orf78
TEKT5
KSR2
PAX1
TDH
LINC00615
SERPINA9
FBXL21
PALM2
MRGPRX4
A2ML1
CPO
GPR6
MDS2
RQCD1
GJD3
HOXC12
VNN3
MYEOV2
FERD3L
DEFT1P2///DEFT1P
LINC00314
DEFB104B///DEFB104A
NLRP14
DGKB
NLRP13
NLRP8
NLRP9
TAF5
TAS1R2
ITGB1
PCSK6
ZNF341
JPH1
NLRP10
RANGAP1
MBNL2
KRT73
COX1
KRT74
SLC29A2
LMX1A
CCDC125
GPR101
ILDR1
PRO2012
VN1R2
VN1R5
ND2
TAAR8
TAS2R39
TAS2R38
TAS2R40
TAS2R41
TMEM171
VN1R4
TAS2R50
CD8B
MACROD2
DDAH1
PIANP
ATP6
HIST1H1T
COX2
CYGB
EFNA2
IFNE
ND6
SPAG11A///SPAG11B
SREK1IP1
THRSP
CXorf36
MAGEA5
FBXL19-AS1
POLE4
SH3KBP1///ND3
PDZK1IP1
FAM27E2///FAM27E3
BCRP3
TAL2
INSL3
SYCP3
TMIE
MUCL1
ATL2
LINC00189
KLHL35
ZNF354B
FOXC1
FLJ25694///LOC731932
TRIM43B///TRIM43
TRIM42
