L3MBTL4
LINC00662
LOC101929147
DUSP1
EMP1
BMI1
SERPINE1
E2F1
ABCC1
DBN1
TOM1
WBP1L
TARBP1
HEXIM1
TCEB3
AHR
LPP
TCEB1
SLC25A4
MMP14
VAMP7
SLC37A4
GPX2
GCC2
SERPINA1
TXNL4A
TRAFD1
DNAJB9
AAGAB
HPRT1
SLC16A3
CNPY2
SP100
DNAJB12
POP4
OAS1
ATP6V1C1
PBX2
CYTH1
NOL7
PPP2R1B
DDIT4
MAP7
NIT1
SIRPA
SDC3
SRSF3
NDUFS8
PDE4B
PPFIBP1
RGS3
ACVR1
NFYA
EZR
PSMA6
DUSP6
UCP2
FOS
CD69
EIF1
STX6
KANK1
LOC100272216
TPGS2
PBXIP1
LOC100129648
VGLL1
HLA-DOA
GGNBP2
GAR1
TSKS
SLC22A7
KAT8
FIGN
AURKAIP1
MYADM
STK17B
SLC25A30
MTMR3
PRKAA2
TOR2A
ARHGAP20
PCDH17
SSBP4
DACT3

NMRAL1
PIGG
KIAA1919
NSFL1C
TNS1
BMS1P20
POLN
MIB2
MAP4
NXPE3
USP27X-AS1
XIAP
IGSF5
KREMEN1
SMYD1
FAM193B
LOC100128079
FENDRR
C14orf23
HECW2
CALD1
C2orf49
NT5C1B
RANBP9
MCTP2
NPW
ENTPD1
PIP5KL1
LOC729658
RRN3P2
DNASE1
SV2C
SGMS2
FGD6
COPS8
CDK5RAP2
ARL5A
HNRNPH2
LOC100508544
ACTL9
MRPL50
TBX3
GPC3
ZDHHC13
HIVEP2
MKNK1
CLUH
PATE2
FAM205B///FAM205A
FAM205A
ALS2CL
MECOM
CCDC93
WWC1
RBM27
COL22A1
DEFB132
ZNF107
DCAF8
TNPO1
FREM3
CSNK1A1
RNF14
FZD10-AS1
ALPK1
SREK1
AUTS2
CAPRIN1
CASZ1
C17orf64
LOC731852
PPIL2
LOC654342
TNIP1
KCNQ1OT1
SEZ6
ARHGAP30
GCC1
ZNF418
SRD5A3
PATE1
CBL
RHOJ
LOC100506926
ZNF652
CASD1
ATP5F1
ADAM30
ZXDA
ORAOV1
CC2D2B
KIAA1841
IL31RA
ADH1B
MBTD1
KNG1
LOC100506238
LOC100287621
SPCS2
GNA14
LOC100294337///KANSL1
FANCB
TPGS1
LOC285957
COG2
C9orf135
NSD1
PRODH2
ZNF827
FGFR1OP2
SPACA3
MFI2-AS1
LOC100506266
NFASC
ZBED6
PLEKHH2
CPEB3
SHROOM3
LOC642852
CHD9
ZNF273
TXNL1
JPH3
MORF4L2
FRG1B
TRIOBP
FAM47A
TMEM132E
SLC38A9
XIST
LOC100506629
ELP2
NMNAT3
LOC100505797
ZNF599
ERICH3
PRLR
CCDC37
SCAF4
CDK14
VSIG1
TEAD2
RAB29
GALNT13
LOC100272217
ZNF585A
ANGPTL3
MRPL30
DNAH12
NCOA7
HELQ
PGBD4
SFTA1P
LOC100505956
BRAF
UNC5A
TNRC6A
SYNE2
N4BP2L1
HSPD1
RAB3GAP2
CCDC80
RFX3
TEX26
ARL17A
WDR38
ALDOB
STXBP5
LOC101928767
AGAP10///AGAP9///BMS1P5///AGAP4
DNAH5
TSHZ2
C6orf52
TRIM2
SMOC2
ABCB1
LOC388820
SUSD3
LOC400464
LOC100505622
SDCCAG8
LINC00202-2
BTF3L4
STK4
GTF2A2
SLFN5
RPLP1
KIAA1549L
PEX6
PDPK1
ENOX2
BLZF1
SLC25A44
CHST3
SAFB2
TBXA2R
GM2A
GAPDH
STAT1
